ISBN;Book-Title;Book-Author;Year-Of-Publication;Image-URL-S;;;
385316895;Legacy of Silence;Belva Plain;1998;http://images.amazon.com/images/P/0385316895.01.THUMBZZZ.jpg;;;
385497466;The Brethren;JOHN GRISHAM;2000;http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg;;;
385508042;The King of Torts;John Grisham;2003;http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg;;;
385509456;The Curious Incident of the Dog in the Night-Time : A Novel;MARK HADDON;2003;http://images.amazon.com/images/P/0385509456.01.THUMBZZZ.jpg;;;
385511612;Bleachers;John Grisham;2003;http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg;;;
385730586;Sisterhood of the Traveling Pants;ANN BRASHARES;2003;http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg;;;
425164403;Only Love (Magical Love);Erich Segal;1998;http://images.amazon.com/images/P/0425164403.01.THUMBZZZ.jpg;;;
440234964;All or Nothing (Wheeler Large Print Books);Elizabeth Adler;2000;http://images.amazon.com/images/P/0440234964.01.THUMBZZZ.jpg;;;
446605484;Roses Are Red (Alex Cross Novels);James Patterson;2001;http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg;;;
446610399;The Rescue;Nicholas Sparks;2001;http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg;;;
449006522;Manhattan Hunt Club;JOHN SAUL;2002;http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg;;;
449911004;Patty Jane's House of Curl (Ballantine Reader's Circle);LORNA LANDVIK;1996;http://images.amazon.com/images/P/0449911004.01.THUMBZZZ.jpg;;;
451162072;Pet Sematary;Stephen King;1994;http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg;;;
451186648;Silent Snow;Steve Thayer;2000;http://images.amazon.com/images/P/0451186648.01.THUMBZZZ.jpg;;;
452282152;Girl with a Pearl Earring;Tracy Chevalier;2001;http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg;;;
051513290X;Summer of Storms;Judith Kelman;2002;http://images.amazon.com/images/P/051513290X.01.THUMBZZZ.jpg;;;
553580388;The Patient;Michael Palmer;2001;http://images.amazon.com/images/P/0553580388.01.THUMBZZZ.jpg;;;
590598848;Demona's Revenge (Gargoyles, No. 2);Francine Hughes;1995;http://images.amazon.com/images/P/0590598848.01.THUMBZZZ.jpg;;;
590629719;Clifford's Sports Day;Norman Bridwell;1996;http://images.amazon.com/images/P/0590629719.01.THUMBZZZ.jpg;;;
671023616;Postmortem (Kay Scarpetta Mysteries (Paperback));Patricia Cornwell;1998;http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg;;;
671027387;Deception Point;Dan Brown;2002;http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg;;;
684848783;Tis : A Memoir;Frank McCourt;1999;http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg;;;
743486226;"Angels &amp; Demons";Dan Brown;2003;http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg;;;
786863986;A Monk Swimming;Malachy McCourt;1998;http://images.amazon.com/images/P/0786863986.01.THUMBZZZ.jpg;;;
803251718;Crazy Horse;Mari Sandoz;1961;http://images.amazon.com/images/P/0803251718.01.THUMBZZZ.jpg;;;
804117934;The Silent Cry (William Monk Novels (Paperback));Anne Perry;1998;http://images.amazon.com/images/P/0804117934.01.THUMBZZZ.jpg;;;
140003180X;The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency);ALEXANDER MCCALL SMITH;2004;http://images.amazon.com/images/P/140003180X.01.THUMBZZZ.jpg;;;
155874262X;Chicken Soup for the Soul (Chicken Soup for the Soul);Jack Canfield;1993;http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg;;;
60987103;Wicked: The Life and Times of the Wicked Witch of the West;Gregory Maguire;1996;http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg;;;
151008116;Life of Pi;Yann Martel;2002;http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg;;;
375704965;A Judgement in Stone;Ruth Rendell;2000;http://images.amazon.com/images/P/0375704965.01.THUMBZZZ.jpg;;;
525947647;Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right;Al Franken;2003;http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg;;;
804111359;Secret History;DONNA TARTT;1993;http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg;;;
1558744150;Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper));Jack Canfield;1996;http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg;;;
435272683;Great Expectations (Heinemann Guided Readers);John Milne;1995;http://images.amazon.com/images/P/0435272683.01.THUMBZZZ.jpg;;;
316782505;The Weight of Water;Anita Shreve;2001;http://images.amazon.com/images/P/0316782505.01.THUMBZZZ.jpg;;;
006102063X;Moving Pictures (Discworld Novels (Paperback));Terry Pratchett;2002;http://images.amazon.com/images/P/006102063X.01.THUMBZZZ.jpg;;;
60013117;Night Watch;Terry Pratchett;2002;http://images.amazon.com/images/P/0060013117.01.THUMBZZZ.jpg;;;
60199563;Thief of Time;Terry Pratchett;2001;http://images.amazon.com/images/P/0060199563.01.THUMBZZZ.jpg;;;
006052779X;Charlotte's Web Book and Charm (Charming Classics);E. B. White;2003;http://images.amazon.com/images/P/006052779X.01.THUMBZZZ.jpg;;;
60563079;Peter Pan: The Original Story (Peter Pan);J. M. Barrie;2003;http://images.amazon.com/images/P/0060563079.01.THUMBZZZ.jpg;;;
60809027;My Friend Flicka;Mary O'Hara;1988;http://images.amazon.com/images/P/0060809027.01.THUMBZZZ.jpg;;;
61040967;The Last Hero : A Discworld Fable (Discworld Novels (Hardcover));Terry Pratchett;2001;http://images.amazon.com/images/P/0061040967.01.THUMBZZZ.jpg;;;
61050474;Jingo: A Discworld Novel (Discworld Series/Terry Pratchett);Terry Pratchett;1998;http://images.amazon.com/images/P/0061050474.01.THUMBZZZ.jpg;;;
61052515;Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).);Terry Pratchett;1997;http://images.amazon.com/images/P/0061052515.01.THUMBZZZ.jpg;;;
61052523;Interesting Times: A Novel of Discworld;Terry Pratchett;1997;http://images.amazon.com/images/P/0061052523.01.THUMBZZZ.jpg;;;
64472264;On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson;Louise Rennison;2002;http://images.amazon.com/images/P/0064472264.01.THUMBZZZ.jpg;;;
140620664;Mansfield Park (Penguin Popular Classics);Jane Austen;1994;http://images.amazon.com/images/P/0140620664.01.THUMBZZZ.jpg;;;
312148267;The Wind in the Willows;Kenneth Grahame;1996;http://images.amazon.com/images/P/0312148267.01.THUMBZZZ.jpg;;;
312156960;The Winter King: A Novel of Arthur (The Warlord Chronicles: I);Bernard Cornwell;1997;http://images.amazon.com/images/P/0312156960.01.THUMBZZZ.jpg;;;
312890044;Moonheart (Newford);Charles de Lint;1994;http://images.amazon.com/images/P/0312890044.01.THUMBZZZ.jpg;;;
034543191X;The King of Elfland's Daughter (Del Rey Impact);Edward John Moreton Drax Plunkett Dunsany;1999;http://images.amazon.com/images/P/034543191X.01.THUMBZZZ.jpg;;;
373836023;Powder and Patch;Georgette Heyer;2004;http://images.amazon.com/images/P/0373836023.01.THUMBZZZ.jpg;;;
375751513;The Picture of Dorian Gray (Modern Library (Paperback));OSCAR WILDE;1998;http://images.amazon.com/images/P/0375751513.01.THUMBZZZ.jpg;;;
375801677;The Iron Giant;Ted Hughes;1999;http://images.amazon.com/images/P/0375801677.01.THUMBZZZ.jpg;;;
375814248;James and the Giant Peach;ROALD DAHL;2002;http://images.amazon.com/images/P/0375814248.01.THUMBZZZ.jpg;;;
375823352;The Amber Spyglass (His Dark Materials, Book 3);PHILIP PULLMAN;2002;http://images.amazon.com/images/P/0375823352.01.THUMBZZZ.jpg;;;
037582345X;The Golden Compass (His Dark Materials, Book 1);PHILIP PULLMAN;2002;http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg;;;
375823468;The Subtle Knife (His Dark Materials, Book 2);PHILIP PULLMAN;2002;http://images.amazon.com/images/P/0375823468.01.THUMBZZZ.jpg;;;
380730448;The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole;Sue Townsend;1997;http://images.amazon.com/images/P/0380730448.01.THUMBZZZ.jpg;;;
380973839;Martian Chronicles;Ray Bradbury;1997;http://images.amazon.com/images/P/0380973839.01.THUMBZZZ.jpg;;;
385327773;The Great God Pan;Donna Jo Napoli;2003;http://images.amazon.com/images/P/0385327773.01.THUMBZZZ.jpg;;;
394586239;Possession: A Romance;A. S. Byatt;1990;http://images.amazon.com/images/P/0394586239.01.THUMBZZZ.jpg;;;
439510112;Born Confused;Tanuja Desai Hidier;2003;http://images.amazon.com/images/P/0439510112.01.THUMBZZZ.jpg;;;
440241413;Confessions of a Shopaholic;SOPHIE KINSELLA;2003;http://images.amazon.com/images/P/0440241413.01.THUMBZZZ.jpg;;;
451409256;Making Minty Malone;Isabel Wolff;2000;http://images.amazon.com/images/P/0451409256.01.THUMBZZZ.jpg;;;
451523415;Little Women (Signet Classic);Louisa May Alcott;1988;http://images.amazon.com/images/P/0451523415.01.THUMBZZZ.jpg;;;
451526279;Emma (Signet Classics (Paperback));Jane Austen;1996;http://images.amazon.com/images/P/0451526279.01.THUMBZZZ.jpg;;;
451526341;Animal Farm;George Orwell;2004;http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg;;;
486415864;Great Expectations (Dover Thrift Editions);Charles Dickens;2001;http://images.amazon.com/images/P/0486415864.01.THUMBZZZ.jpg;;;
553280589;Eva Luna;Isabel Allende;1989;http://images.amazon.com/images/P/0553280589.01.THUMBZZZ.jpg;;;
571197639;Poisonwood Bible Edition Uk;Barbara Kingsolver;0;http://images.amazon.com/images/P/0571197639.01.THUMBZZZ.jpg;;;
670035262;The Green Man : Tales from the Mythic Forest;Ellen Datlow;2002;http://images.amazon.com/images/P/0670035262.01.THUMBZZZ.jpg;;;
679423079;Nicholas Nickleby (Everyman's Library);Charles Dickens;1993;http://images.amazon.com/images/P/0679423079.01.THUMBZZZ.jpg;;;
679751343;"Angels &amp; Insects : Two Novellas";A.S. BYATT;1994;http://images.amazon.com/images/P/0679751343.01.THUMBZZZ.jpg;;;
684833395;Catch 22;Joseph Heller;1996;http://images.amazon.com/images/P/0684833395.01.THUMBZZZ.jpg;;;
743245024;The Forsyte Saga : The Man of Property and In Chancery;John Galsworthy;2002;http://images.amazon.com/images/P/0743245024.01.THUMBZZZ.jpg;;;
749748001;The Enchanted Wood;Enid Blyton;2002;http://images.amazon.com/images/P/0749748001.01.THUMBZZZ.jpg;;;
749748028;The Folk of the Faraway Tree;Enid Blyton;2002;http://images.amazon.com/images/P/0749748028.01.THUMBZZZ.jpg;;;
963094424;Angels and Visitations: A Miscellany;Neil Gaiman;1993;http://images.amazon.com/images/P/0963094424.01.THUMBZZZ.jpg;;;
1401201172;League of Extraordinary Gentlemen, Vol. 2 (Comic);Alan Moore;2003;http://images.amazon.com/images/P/1401201172.01.THUMBZZZ.jpg;;;
1563892278;Preludes and Nocturnes (Sandman, Book 1);Neil Gaiman;1998;http://images.amazon.com/images/P/1563892278.01.THUMBZZZ.jpg;;;
1563898586;The League of Extraordinary Gentlemen, Vol. 1;Alan Moore;2002;http://images.amazon.com/images/P/1563898586.01.THUMBZZZ.jpg;;;
156971620X;Harlequin Valentine;Neil Gaiman;2002;http://images.amazon.com/images/P/156971620X.01.THUMBZZZ.jpg;;;
1592571301;Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours);Trudy Suggs;2003;http://images.amazon.com/images/P/1592571301.01.THUMBZZZ.jpg;;;
374270325;A Man in Full;Tom Wolfe;1998;http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg;;;
375719180;The Miracle Life of Edgar Mint: A Novel;Brady Udall;2002;http://images.amazon.com/images/P/0375719180.01.THUMBZZZ.jpg;;;
440235502;October Sky: A Memoir;Homer Hickam;1999;http://images.amazon.com/images/P/0440235502.01.THUMBZZZ.jpg;;;
044023722X;A Painted House;John Grisham;2001;http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg;;;
1573225487;The Romance Reader;Pearl Abraham;1996;http://images.amazon.com/images/P/1573225487.01.THUMBZZZ.jpg;;;
1853260673;Far from the Madding Crowd (Wordsworth Classics);Thomas Hardy;1997;http://images.amazon.com/images/P/1853260673.01.THUMBZZZ.jpg;;;
60977477;The Perfect Storm : A True Story of Men Against the Sea;Sebastian Junger;1999;http://images.amazon.com/images/P/0060977477.01.THUMBZZZ.jpg;;;
345391691;The Battle for God;Karen Armstrong;2001;http://images.amazon.com/images/P/0345391691.01.THUMBZZZ.jpg;;;
520011171;Sappho: A New Translation;Mary Barnard;1958;http://images.amazon.com/images/P/0520011171.01.THUMBZZZ.jpg;;;
553278746;The Postman (Bantam Classics);David Brin;1990;http://images.amazon.com/images/P/0553278746.01.THUMBZZZ.jpg;;;
670856045;The Tortilla Curtain;T. Coraghessan Boyle;1995;http://images.amazon.com/images/P/0670856045.01.THUMBZZZ.jpg;;;
872200760;Symposium;Paul Woodruff;1989;http://images.amazon.com/images/P/0872200760.01.THUMBZZZ.jpg;;;
937858994;The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons;Lynda Madaras;1987;http://images.amazon.com/images/P/0937858994.01.THUMBZZZ.jpg;;;
671649949;OBJECT AFFECTION;Stephen McCauley;1988;http://images.amazon.com/images/P/0671649949.01.THUMBZZZ.jpg;;;
590431110;The Journey Home;Isabelle Holland;1993;http://images.amazon.com/images/P/0590431110.01.THUMBZZZ.jpg;;;
64470113;Taking the Ferry Home;Pam Conrad;1990;http://images.amazon.com/images/P/0064470113.01.THUMBZZZ.jpg;;;
553571486;Angel of Hope (Mercy Trilogy);Lurlene McDaniel;2000;http://images.amazon.com/images/P/0553571486.01.THUMBZZZ.jpg;;;
972044205;The Breach;Brian Kaufman;2002;http://images.amazon.com/images/P/0972044205.01.THUMBZZZ.jpg;;;
312963009;Neanderthal: A Novel;John Darnton;1997;http://images.amazon.com/images/P/0312963009.01.THUMBZZZ.jpg;;;
345430476;A Small Dark Place;Martin Schenk;1999;http://images.amazon.com/images/P/0345430476.01.THUMBZZZ.jpg;;;
345435869;The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON;DAVID EDDINGS;1999;http://images.amazon.com/images/P/0345435869.01.THUMBZZZ.jpg;;;
380728729;Babyhood;Paul Reiser;1998;http://images.amazon.com/images/P/0380728729.01.THUMBZZZ.jpg;;;
038081840X;Year's Best Fantasy (Year's Best Fantasy);David G. Hartwell;2001;http://images.amazon.com/images/P/038081840X.01.THUMBZZZ.jpg;;;
449912302;Dave Barry in Cyberspace;Dave Barry;1997;http://images.amazon.com/images/P/0449912302.01.THUMBZZZ.jpg;;;
055329198X;Wolf Moon;John R. Holt;1997;http://images.amazon.com/images/P/055329198X.01.THUMBZZZ.jpg;;;
671018930;The War in Heaven (Eternal Warriors);Theodore Beale;2000;http://images.amazon.com/images/P/0671018930.01.THUMBZZZ.jpg;;;
812541642;Waiting;Frank M. Robinson;2000;http://images.amazon.com/images/P/0812541642.01.THUMBZZZ.jpg;;;
312988699;Nowhere To Run;Mary Jane Clark;2004;http://images.amazon.com/images/P/0312988699.01.THUMBZZZ.jpg;;;
486282112;Frankenstein (Dover Thrift Editions);Mary Wollstonecraft Shelley;1994;http://images.amazon.com/images/P/0486282112.01.THUMBZZZ.jpg;;;
670815373;Urn Burial;Robert Westall;1987;http://images.amazon.com/images/P/0670815373.01.THUMBZZZ.jpg;;;
385313748;All Our Yesterdays (Large Print);Robert B. Parker;1994;http://images.amazon.com/images/P/0385313748.01.THUMBZZZ.jpg;;;
1575843366;What Shall I Be (Barbie Carryalong);Rita Chapman Works;1999;http://images.amazon.com/images/P/1575843366.01.THUMBZZZ.jpg;;;
684193957;ALL THAT REMAINS;Patricia Cornwell;1992;http://images.amazon.com/images/P/0684193957.01.THUMBZZZ.jpg;;;
345371984;Last Chance to See;Douglas Adams;1992;http://images.amazon.com/images/P/0345371984.01.THUMBZZZ.jpg;;;
380730138;Vinegar Hill (Oprah's Book Club (Paperback));A. Manette Ansay;1998;http://images.amazon.com/images/P/0380730138.01.THUMBZZZ.jpg;;;
1573228737;Affinity;Sarah Waters;2002;http://images.amazon.com/images/P/1573228737.01.THUMBZZZ.jpg;;;
9681500555;Diario de Ana Frank;Anne Frank;2000;http://images.amazon.com/images/P/9681500555.01.THUMBZZZ.jpg;;;
380711109;Desert Notes/River Notes;Barry Lopez;1990;http://images.amazon.com/images/P/0380711109.01.THUMBZZZ.jpg;;;
452283914;The Best Democracy Money Can Buy: The Truth About Corporate Cons, Globalization and High-Finance Fraudsters;Greg Palast;2003;http://images.amazon.com/images/P/0452283914.01.THUMBZZZ.jpg;;;
425120279;The Hunt for Red October;Tom Clancy;1990;http://images.amazon.com/images/P/0425120279.01.THUMBZZZ.jpg;;;
067153484X;The Music Box;Andrea Kane;1998;http://images.amazon.com/images/P/067153484X.01.THUMBZZZ.jpg;;;
380728273;Liberty Falling (Anna Pigeon Mysteries (Paperback));Nevada Barr;2000;http://images.amazon.com/images/P/0380728273.01.THUMBZZZ.jpg;;;
8433914545;El Palacio de La Luna;Paul Auster;1996;http://images.amazon.com/images/P/8433914545.01.THUMBZZZ.jpg;;;
8484509141;Mientras Escribo;Stephen King;2002;http://images.amazon.com/images/P/8484509141.01.THUMBZZZ.jpg;;;
446606197;Killer Market (Deborah Knott Mysteries (Paperback));Margaret Maron;1999;http://images.amazon.com/images/P/0446606197.01.THUMBZZZ.jpg;;;
771076002;Remembering Peter Gzowski : A Book of Tributes;EDNA BARKER;2002;http://images.amazon.com/images/P/0771076002.01.THUMBZZZ.jpg;;;
771088191;The Best Canadian Animal Stories: Classic Tales by Master Storytellers;Muriel Whitaker;1997;http://images.amazon.com/images/P/0771088191.01.THUMBZZZ.jpg;;;
1559703237;Trying to Save Piggy Sneed;John Irving;1996;http://images.amazon.com/images/P/1559703237.01.THUMBZZZ.jpg;;;
3596214629;Herr Der Fliegen (Fiction, Poetry and Drama);Golding;0;http://images.amazon.com/images/P/3596214629.01.THUMBZZZ.jpg;;;
62770500;Seattle Access;HarperReference;1993;http://images.amazon.com/images/P/0062770500.01.THUMBZZZ.jpg;;;
671847546;REAL GUIDE: CALIFORNIA AND THE WEST COAST (The Real guides);LTD;1993;http://images.amazon.com/images/P/0671847546.01.THUMBZZZ.jpg;;;
60188731;Bel Canto;Ann Patchett;2001;http://images.amazon.com/images/P/0060188731.01.THUMBZZZ.jpg;;;
140374248;James and the Giant Peach;Roald Dahl;2000;http://images.amazon.com/images/P/0140374248.01.THUMBZZZ.jpg;;;
142001740;The Secret Life of Bees;Sue Monk Kidd;2003;http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg;;;
195086295;What a Wonderful World: A Lifetime of Recordings;Bob Thiele;1995;http://images.amazon.com/images/P/0195086295.01.THUMBZZZ.jpg;;;
312995423;Digital Fortress : A Thriller;Dan Brown;2003;http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg;;;
380704587;The Ladies of Missalonghi;Colleen McCullough;1988;http://images.amazon.com/images/P/0380704587.01.THUMBZZZ.jpg;;;
380815923;Blackberry Wine : A Novel;Joanne Harris;2001;http://images.amazon.com/images/P/0380815923.01.THUMBZZZ.jpg;;;
385416342;The Firm;John Grisham;1991;http://images.amazon.com/images/P/0385416342.01.THUMBZZZ.jpg;;;
038542471X;The Client;John Grisham;1993;http://images.amazon.com/images/P/038542471X.01.THUMBZZZ.jpg;;;
425098109;Thieves of Light (Photon : the Ultimate Game on Planet Earth);Michael Hudson;1987;http://images.amazon.com/images/P/0425098109.01.THUMBZZZ.jpg;;;
449005410;Horse Heaven (Ballantine Reader's Circle);Jane Smiley;2001;http://images.amazon.com/images/P/0449005410.01.THUMBZZZ.jpg;;;
449202631;Danger;Dick Francis;1985;http://images.amazon.com/images/P/0449202631.01.THUMBZZZ.jpg;;;
449207544;Proof;Dick Francis;1990;http://images.amazon.com/images/P/0449207544.01.THUMBZZZ.jpg;;;
515128554;Heart of the Sea (Irish Trilogy);Nora Roberts;2000;http://images.amazon.com/images/P/0515128554.01.THUMBZZZ.jpg;;;
517577402;Mostly Harmless;Douglas Adams;1992;http://images.amazon.com/images/P/0517577402.01.THUMBZZZ.jpg;;;
590450875;I Spy: A Book of Picture Riddles;Jean Marzollo;1992;http://images.amazon.com/images/P/0590450875.01.THUMBZZZ.jpg;;;
590481371;I Spy Spooky Night: A Book of Picture Riddles (I Spy Books);Walter Wick;1996;http://images.amazon.com/images/P/0590481371.01.THUMBZZZ.jpg;;;
067103619X;Lake News;Barbara Delinsky;2000;http://images.amazon.com/images/P/067103619X.01.THUMBZZZ.jpg;;;
684177730;The SKULL BENEATH THE SKIN;P. D. James;1982;http://images.amazon.com/images/P/0684177730.01.THUMBZZZ.jpg;;;
684180200;NEW SHOE;Arthur William Upfield;1983;http://images.amazon.com/images/P/0684180200.01.THUMBZZZ.jpg;;;
743411269;An Accidental Woman;Barbara Delinsky;2003;http://images.amazon.com/images/P/0743411269.01.THUMBZZZ.jpg;;;
743470389;The Snow Garden;Christopher Rice;2004;http://images.amazon.com/images/P/0743470389.01.THUMBZZZ.jpg;;;
076218857X;The Doorbell Rang (The Best Mysteries of All Time);Rex Stout;2000;http://images.amazon.com/images/P/076218857X.01.THUMBZZZ.jpg;;;
767905938;A Year by the Sea: Thoughts of an Unfinished Woman;Joan Anderson;2000;http://images.amazon.com/images/P/0767905938.01.THUMBZZZ.jpg;;;
800706544;Though I walk through the valley;Vance Havner;1974;http://images.amazon.com/images/P/0800706544.01.THUMBZZZ.jpg;;;
801096677;Victorious Christians You Should Know;Warren W. Wiersbe;1984;http://images.amazon.com/images/P/0801096677.01.THUMBZZZ.jpg;;;
849953014;Life Lessons: Book Of Hebrews;Max Lucado;1997;http://images.amazon.com/images/P/0849953014.01.THUMBZZZ.jpg;;;
891091963;Inside out;Lawrence J Crabb;1988;http://images.amazon.com/images/P/0891091963.01.THUMBZZZ.jpg;;;
915811537;Son Rise: The Miracle Continues;Barry Neil Kaufman;1994;http://images.amazon.com/images/P/0915811537.01.THUMBZZZ.jpg;;;
927545373;Unveiled at Last;Bob Sjogren;1988;http://images.amazon.com/images/P/0927545373.01.THUMBZZZ.jpg;;;
1575024179;The Day I Almost Quit;Frederick J. Moody;1997;http://images.amazon.com/images/P/1575024179.01.THUMBZZZ.jpg;;;
1880185008;Serving As Senders: How to Care for Your Missionaries While They Are Preparing to Go, While They Are on the Field, When They Return Home;Neal Pirolo;1991;http://images.amazon.com/images/P/1880185008.01.THUMBZZZ.jpg;;;
140345809;House of Stairs;William Sleator;1991;http://images.amazon.com/images/P/0140345809.01.THUMBZZZ.jpg;;;
156528207;The Little Prince;Antoine de Saint-Exup?ry;1968;http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg;;;
380012863;Jonathan Livingston Seagull;Richard Bach;1976;http://images.amazon.com/images/P/0380012863.01.THUMBZZZ.jpg;;;
451154916;The Crystal Handbook;Kevin Sullivan;1996;http://images.amazon.com/images/P/0451154916.01.THUMBZZZ.jpg;;;
785815147;Simple Wicca (Simple Wisdom Book);Michele Morgan;2002;http://images.amazon.com/images/P/0785815147.01.THUMBZZZ.jpg;;;
875421288;"The Complete Book of Incense, Oils &amp; Brews (Llewellyn's Practical Magick)";Scott, Cunningham;1989;http://images.amazon.com/images/P/0875421288.01.THUMBZZZ.jpg;;;
156718796X;Astral Travel for Beginners (For Beginners);Richard Webster;1998;http://images.amazon.com/images/P/156718796X.01.THUMBZZZ.jpg;;;
1862047626;New Perspectives: Runes;Bernard King;2000;http://images.amazon.com/images/P/1862047626.01.THUMBZZZ.jpg;;;
20437501;Rosie'S Walk;Pat Hutchins;1971;http://images.amazon.com/images/P/0020437501.01.THUMBZZZ.jpg;;;
198320264;Julius Caesar (Oxford School Shakespeare);William Shakespeare;2001;http://images.amazon.com/images/P/0198320264.01.THUMBZZZ.jpg;;;
373196989;Santa Brought A Son : Marrying The Boss's Daughter (Silhouette Romance, 1698);Melissa McClone;2003;http://images.amazon.com/images/P/0373196989.01.THUMBZZZ.jpg;;;
373245580;Marry Me ... Again   Montana Mavericks (Silhouette Special Edition, 1558);Cheryl St. John;2003;http://images.amazon.com/images/P/0373245580.01.THUMBZZZ.jpg;;;
451527747;Alice's Adventures in Wonderland and Through the Looking Glass;Lewis Carroll;2000;http://images.amazon.com/images/P/0451527747.01.THUMBZZZ.jpg;;;
671867113;Moonlight Becomes You;Mary Higgins Clark;1997;http://images.amazon.com/images/P/0671867113.01.THUMBZZZ.jpg;;;
812504208;The Adventures of Tom Sawyer;Mark Twain;1989;http://images.amazon.com/images/P/0812504208.01.THUMBZZZ.jpg;;;
60173289;Divine Secrets of the Ya-Ya Sisterhood : A Novel;Rebecca Wells;1996;http://images.amazon.com/images/P/0060173289.01.THUMBZZZ.jpg;;;
60973897;Lakota Woman;Dog Mary Crow;1991;http://images.amazon.com/images/P/0060973897.01.THUMBZZZ.jpg;;;
006101351X;The Perfect Storm : A True Story of Men Against the Sea;Sebastian Junger;1998;http://images.amazon.com/images/P/006101351X.01.THUMBZZZ.jpg;;;
140104682;Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960;Linda Gordon;1989;http://images.amazon.com/images/P/0140104682.01.THUMBZZZ.jpg;;;
312143370;The Florence King Reader;Florence King;1996;http://images.amazon.com/images/P/0312143370.01.THUMBZZZ.jpg;;;
316666343;The Lovely Bones: A Novel;Alice Sebold;2002;http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg;;;
039456894X;Impossible Vacation;Spalding Gray;1992;http://images.amazon.com/images/P/039456894X.01.THUMBZZZ.jpg;;;
440224675;Hannibal;Thomas Harris;2000;http://images.amazon.com/images/P/0440224675.01.THUMBZZZ.jpg;;;
449002632;London : The Novel;EDWARD RUTHERFURD;1998;http://images.amazon.com/images/P/0449002632.01.THUMBZZZ.jpg;;;
449213773;Life Before Man;Margaret Atwood;1990;http://images.amazon.com/images/P/0449213773.01.THUMBZZZ.jpg;;;
452279690;Cavedweller;Dorothy Allison;1999;http://images.amazon.com/images/P/0452279690.01.THUMBZZZ.jpg;;;
553569058;The Robber Bride;Margaret Atwood;1995;http://images.amazon.com/images/P/0553569058.01.THUMBZZZ.jpg;;;
679427430;Wouldn't Take Nothing for My Journey Now;MAYA ANGELOU;1993;http://images.amazon.com/images/P/0679427430.01.THUMBZZZ.jpg;;;
679725393;The House of Mirth (Library of America);Edith Wharton;1990;http://images.amazon.com/images/P/0679725393.01.THUMBZZZ.jpg;;;
802114369;Ohitika Woman;Mary Brave Bird;1993;http://images.amazon.com/images/P/0802114369.01.THUMBZZZ.jpg;;;
803233019;Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux;John G. Neihardt;1988;http://images.amazon.com/images/P/0803233019.01.THUMBZZZ.jpg;;;
819154946;The Community in America;Roland Warren;1987;http://images.amazon.com/images/P/0819154946.01.THUMBZZZ.jpg;;;
940322978;Mawrdew Czgowchwz (New York Review Books Classics);James McCourt;2002;http://images.amazon.com/images/P/0940322978.01.THUMBZZZ.jpg;;;
1573225126;Prozac Nation: Young and Depressed in America : A Memoir;Elizabeth Wurtzel;1997;http://images.amazon.com/images/P/1573225126.01.THUMBZZZ.jpg;;;
1579651658;The Journey From Here;Bill Bradley;2000;http://images.amazon.com/images/P/1579651658.01.THUMBZZZ.jpg;;;
